invoice_id,customer_id,invoice_date,amount_excluding_vat,vat_rate,total_with_vat
INV-000149,CUST-0016,2025-12-16,125.0,0.2,150.0
INV-000150,CUST-0017,2025-02-26,89.0,0.0,89.0
INV-000151,CUST-0017,2025-03-26,89.0,0.0,89.0
INV-000152,CUST-0017,2025-04-26,89.0,0.0,89.0
INV-000153,CUST-0017,2025-05-26,89.0,0.0,89.0
INV-000154,CUST-0017,2025-06-26,89.0,0.0,89.0
INV-000155,CUST-0017,2025-07-26,89.0,0.0,89.0
INV-000156,CUST-0017,2025-08-26,89.0,0.0,89.0
INV-000157,CUST-0017,2025-09-26,89.0,0.0,89.0
INV-000158,CUST-0017,2025-10-26,149.0,0.0,149.0
INV-000159,CUST-0017,2025-11-26,149.0,0.0,149.0
INV-000160,CUST-0017,2025-12-26,149.0,0.0,149.0
INV-000161,CUST-0018,2025-09-02,125.0,0.2,150.0
INV-000162,CUST-0018,2025-10-02,125.0,0.2,150.0
INV-000163,CUST-0018,2025-11-02,125.0,0.2,150.0
INV-000164,CUST-0018,2025-12-02,125.0,0.2,150.0
INV-000165,CUST-0019,2025-08-16,125.0,0.0,125.0
INV-000166,CUST-0019,2025-09-16,125.0,0.0,125.0
INV-000167,CUST-0019,2025-10-16,125.0,0.0,125.0
INV-000168,CUST-0019,2025-11-16,125.0,0.0,125.0
INV-000169,CUST-0019,2025-12-16,125.0,0.0,125.0
INV-000170,CUST-0020,2024-05-16,89.0,0.19,105.91
INV-000171,CUST-0020,2024-06-16,89.0,0.19,105.91
INV-000172,CUST-0020,2024-07-16,89.0,0.19,105.91
INV-000173,CUST-0020,2024-08-16,89.0,0.19,105.91
INV-000174,CUST-0020,2024-09-16,89.0,0.19,105.91
INV-000175,CUST-0020,2024-10-16,89.0,0.19,105.91
INV-000176,CUST-0020,11/16/2024,89.0,0.19,105.91
INV-000177,CUST-0020,2024-12-16,89.0,0.19,105.91
INV-000178,CUST-0020,2025-01-16,89.0,0.19,105.91
INV-000179,CUST-0020,2025-02-16,89.0,0.19,105.91
INV-000180,CUST-0020,2025-03-16,89.0,0.19,105.91
INV-000181,CUST-0020,2025-04-16,89.0,0.19,105.91
INV-000182,CUST-0020,2025-05-16,89.0,0.19,105.91
INV-000183,CUST-0020,2025-06-16,89.0,0.19,105.91
INV-000184,CUST-0020,2025-07-16,89.0,0.19,105.91
INV-000185,CUST-0020,2025-08-16,89.0,0.19,105.91
INV-000186,CUST-0020,2025-09-16,89.0,0.19,105.91
INV-000187,CUST-0021,2025-12-02,125.0,0.19,148.75
INV-000188,CUST-0022,2025-09-12,125.0,0.2,150.0
INV-000189,CUST-0022,2025-10-12 00:00:00,125.0,0.2,150.0
INV-000190,CUST-0022,2025-11-12,125.0,0.2,150.0
INV-000191,CUST-0022,2025-12-12,125.0,0.2,150.0
INV-000192,CUST-0023,2024-02-17,89.0,0.0,89.0
INV-000193,CUST-0023,2024-03-17,89.0,0.0,89.0
INV-000194,CUST-0023,2024-04-17,89.0,0.0,89.0
INV-000195,CUST-0023,2024-05-17,89.0,0.0,89.0
INV-000196,CUST-0023,2024-06-17,89.0,0.0,89.0
INV-000197,CUST-0023,2024-07-17,89.0,0.0,89.0
INV-000198,CUST-0023,2024-08-17,89.0,0.0,89.0
INV-000199,CUST-0023,2024-09-17,89.0,0.0,89.0
INV-000200,CUST-0023,2024-10-17,89.0,0.0,89.0
INV-000201,CUST-0023,2024-11-17,89.0,0.0,89.0
INV-000202,CUST-0023,2024-12-17,89.0,0.0,89.0
INV-000203,CUST-0023,2025-01-17,89.0,0.0,89.0
INV-000204,CUST-0023,2025-02-17,89.0,0.0,89.0
INV-000205,CUST-0023,2025-03-17,89.0,0.0,89.0
INV-000206,CUST-0023,2025-04-17,89.0,0.0,89.0
INV-000207,CUST-0023,2025-05-17,89.0,0.0,89.0
INV-000208,CUST-0023,2025-06-17,89.0,0.0,89.0
INV-000209,CUST-0023,2025-07-17,89.0,0.0,89.0
INV-000210,CUST-0023,17-08-2025,89.0,0.0,89.0
INV-000211,CUST-0024,2024-12-18,89.0,0.0,89.0
INV-000212,CUST-0024,2025-01-18,89.0,0.0,89.0
INV-000213,CUST-0024,2025-02-18,89.0,0.0,89.0
INV-000214,CUST-0024,2025-03-18,89.0,0.0,89.0
INV-000215,CUST-0024,2025-04-18,89.0,0.0,89.0
INV-000216,CUST-0024,2025-05-18,89.0,0.0,89.0
INV-000217,CUST-0024,18-06-2025,89.0,0.0,89.0
INV-000218,CUST-0024,2025-07-18,89.0,0.0,89.0
INV-000219,CUST-0024,2025-08-18,89.0,0.0,89.0
INV-000220,CUST-0024,09/18/2025,89.0,0.0,89.0
INV-000221,CUST-0024,2025-10-18,89.0,0.0,89.0
INV-000222,CUST-0024,2025-11-18,89.0,0.0,89.0
INV-000223,CUST-0024,2025-12-18,145.0,0.0,145.0
INV-000224,CUST-0025,2024-06-23,89.0,0.2,106.8
INV-000225,CUST-0025,2024-07-23,89.0,0.2,106.8
INV-000226,CUST-0025,2024-08-23,89.0,0.2,106.8
INV-000227,CUST-0025,2024-09-23,89.0,0.2,106.8
INV-000228,CUST-0025,2024-10-23,89.0,0.2,106.8
INV-000229,CUST-0025,2024-11-23,89.0,0.2,106.8
INV-000230,CUST-0025,2024-12-23,89.0,0.2,106.8
INV-000231,CUST-0025,2025-01-23,89.0,0.2,106.8
INV-000232,CUST-0025,2025-02-23,89.0,0.2,106.8
INV-000233,CUST-0025,2025-03-23,89.0,0.2,106.8
INV-000234,CUST-0025,23-04-2025,89.0,0.2,106.8
INV-000235,CUST-0025,2025-05-23,89.0,0.2,106.8
INV-000236,CUST-0025,2025-06-23,89.0,0.2,106.8
INV-000237,CUST-0025,2025-07-23,89.0,0.2,106.8
INV-000238,CUST-0025,2025-08-23,89.0,0.2,106.8
INV-000239,CUST-0025,2025-09-23,89.0,0.2,106.8
INV-000240,CUST-0025,2025-10-23,144.0,0.2,172.8
INV-000241,CUST-0025,2025-11-23,144.0,0.2,172.8
INV-000242,CUST-0025,2025-12-23,144.0,0.2,172.8
INV-000243,CUST-0026,2025-10-09 00:00:00,125.0,0.2,150.0
INV-000244,CUST-0026,2025-11-09,125.0,0.2,150.0
INV-000245,CUST-0026,2025-12-09,164.0,0.2,196.8
INV-000246,CUST-0027,2024-08-04,89.0,0.0,89.0
INV-000247,CUST-0027,2024-09-04,89.0,0.0,89.0
INV-000248,CUST-0027,2024-10-04,89.0,0.0,89.0
INV-000249,CUST-0027,2024-11-04,89.0,0.0,89.0
INV-000250,CUST-0027,2024-12-04,89.0,0.0,89.0
INV-000251,CUST-0027,2025-01-04,89.0,0.0,89.0
INV-000252,CUST-0027,2025-02-04,89.0,0.0,89.0
INV-000253,CUST-0027,2025-03-04,89.0,0.0,89.0
INV-000254,CUST-0027,2025-04-04,89.0,0.0,89.0
INV-000255,CUST-0027,2025-05-04,89.0,0.0,89.0
INV-000256,CUST-0027,2025-06-04,89.0,0.0,89.0
INV-000257,CUST-0027,2025-07-04,135.0,0.0,135.0
INV-000258,CUST-0027,2025-08-04,135.0,0.0,135.0
INV-000259,CUST-0027,2025-09-04,135.0,0.0,135.0
INV-000260,CUST-0027,2025-10-04,135.0,0.0,135.0
INV-000261,CUST-0027,2025-11-04 00:00:00,181.0,0.0,181.0
INV-000262,CUST-0027,2025-12-04,181.0,0.0,181.0
INV-000263,CUST-0028,2024-10-14,89.0,0.2,106.8
INV-000264,CUST-0028,2024-11-14,89.0,0.2,106.8
INV-000265,CUST-0028,2024-12-14,89.0,0.2,106.8
INV-000266,CUST-0028,2025-01-14,89.0,0.2,106.8
INV-000267,CUST-0028,2025-02-14,89.0,0.2,106.8
INV-000268,CUST-0028,2025-03-14,89.0,0.2,106.8
INV-000269,CUST-0028,2025-04-14,89.0,0.2,106.8
INV-000270,CUST-0028,2025-05-14,89.0,0.2,106.8
INV-000271,CUST-0028,2025-06-14,89.0,0.2,106.8
INV-000272,CUST-0028,2025-07-14,89.0,0.2,106.8
INV-000273,CUST-0028,2025-08-14,89.0,0.2,106.8
INV-000274,CUST-0028,09/14/2025,89.0,0.2,106.8
INV-000275,CUST-0028,2025-10-14,89.0,0.2,106.8
INV-000276,CUST-0028,2025-11-14,89.0,0.2,106.8
INV-000277,CUST-0028,14-12-2025,89.0,0.2,106.8
INV-000278,CUST-0029,2025-07-14,89.0,0.0,89.0
INV-000279,CUST-0029,14-08-2025,89.0,0.0,89.0
INV-000280,CUST-0029,2025-09-14,89.0,0.0,89.0
INV-000281,CUST-0029,2025-10-14,89.0,0.0,89.0
INV-000282,CUST-0029,2025-11-14,138.0,0.0,138.0
INV-000283,CUST-0029,2025-12-14,138.0,0.0,138.0
INV-000284,CUST-0030,2024-12-26,89.0,0.0,89.0
INV-000285,CUST-0030,2025-01-26,89.0,0.0,89.0
INV-000286,CUST-0030,2025-02-26,89.0,0.0,89.0
INV-000287,CUST-0030,2025-03-26,89.0,0.0,89.0
INV-000288,CUST-0030,2025-04-26,89.0,0.0,89.0
INV-000289,CUST-0030,2025-05-26,89.0,0.0,89.0
INV-000290,CUST-0030,2025-06-26,117.0,0.0,117.0
INV-000291,CUST-0030,2025-07-26,117.0,0.0,117.0
INV-000292,CUST-0030,2025-08-26,117.0,0.0,117.0
INV-000293,CUST-0030,2025-09-26,117.0,0.0,117.0
INV-000294,CUST-0030,2025-10-26,169.0,0.0,169.0
INV-000295,CUST-0030,2025-11-26,169.0,0.0,169.0
INV-000296,CUST-0030,2025-12-26,213.0,0.0,213.0
INV-000297,CUST-0031,2025-10-07,125.0,0.2,150.0
INV-000298,CUST-0031,2025-11-07,125.0,0.2,150.0
INV-000299,CUST-0031,2025-12-07,125.0,0.2,150.0
INV-000300,CUST-0032,2024-07-23,89.0,0.2,106.8
INV-000301,CUST-0032,2024-08-23,89.0,0.2,106.8
INV-000302,CUST-0032,2024-09-23,89.0,0.2,106.8
INV-000303,CUST-0032,2024-10-23,89.0,0.2,106.8
INV-000304,CUST-0032,2024-11-23,125.0,0.2,150.0
INV-000305,CUST-0032,2024-12-23,125.0,0.2,150.0
INV-000306,CUST-0032,2025-01-23,125.0,0.2,150.0
INV-000307,CUST-0032,2025-02-23,125.0,0.2,150.0
INV-000308,CUST-0032,2025-03-23,125.0,0.2,150.0
INV-000309,CUST-0032,2025-04-23,125.0,0.2,150.0
INV-000310,CUST-0032,2025-05-23,125.0,0.2,150.0
INV-000311,CUST-0032,2025-06-23,125.0,0.2,150.0
INV-000312,CUST-0032,23-07-2025,125.0,0.2,150.0
INV-000313,CUST-0032,2025-08-23,125.0,0.2,150.0
INV-000314,CUST-0032,2025-09-23,125.0,0.2,150.0
INV-000315,CUST-0033,2025-12-13,125.0,0.2,150.0
INV-000316,CUST-0034,2025-11-29,125.0,0.19,148.75
INV-000317,CUST-0034,2025-12-29,125.0,0.19,148.75
INV-000318,CUST-0035,2024-01-14,89.0,0.0,89.0
INV-000319,CUST-0035,2024-02-14,89.0,0.0,89.0
INV-000320,CUST-0035,2024-03-14,89.0,0.0,89.0
INV-000321,CUST-0035,2024-04-14,89.0,0.0,89.0
INV-000322,CUST-0035,2024-05-14,89.0,0.0,89.0
INV-000323,CUST-0035,2024-06-14,89.0,0.0,89.0
INV-000324,CUST-0035,2024-07-14,89.0,0.0,89.0
INV-000325,CUST-0035,2024-08-14,89.0,0.0,89.0
INV-000326,CUST-0035,2024-09-14,89.0,0.0,89.0
INV-000327,CUST-0035,2024-10-14,89.0,0.0,89.0
INV-000328,CUST-0035,2024-11-14,89.0,0.0,89.0
INV-000329,CUST-0035,2024-12-14,89.0,0.0,89.0
INV-000330,CUST-0035,2025-01-14 00:00:00,89.0,0.0,89.0
INV-000331,CUST-0035,2025-02-14,89.0,0.0,89.0
INV-000332,CUST-0035,2025-03-14,89.0,0.0,89.0
INV-000333,CUST-0035,2025-04-14,89.0,0.0,89.0
INV-000334,CUST-0035,14-05-2025,89.0,0.0,89.0
INV-000335,CUST-0035,2025-06-14,89.0,0.0,89.0
INV-000336,CUST-0035,2025-07-14,89.0,0.0,89.0
INV-000337,CUST-0035,2025-08-14,89.0,0.0,89.0
INV-000338,CUST-0035,2025-09-14,89.0,0.0,89.0
INV-000339,CUST-0035,2025-10-14,89.0,0.0,89.0
INV-000340,CUST-0035,2025-11-14,89.0,0.0,89.0
INV-000341,CUST-0035,2025-12-14,89.0,0.0,89.0
INV-000342,CUST-0036,10/16/2025,125.0,0.2,150.0
INV-000343,CUST-0036,2025-11-16 00:00:00,125.0,0.2,150.0
INV-000344,CUST-0036,2025-12-16,155.0,0.2,186.0
INV-000345,CUST-0037,2025-02-12,89.0,0.2,106.8
INV-000346,CUST-0037,2025-03-12,89.0,0.2,106.8
INV-000347,CUST-0037,2025-04-12,89.0,0.2,106.8
INV-000348,CUST-0037,2025-05-12,111.0,0.2,133.2
INV-000349,CUST-0037,2025-06-12,111.0,0.2,133.2
INV-000350,CUST-0037,2025-07-12,111.0,0.2,133.2
INV-000351,CUST-0037,2025-08-12,111.0,0.2,133.2
INV-000352,CUST-0037,2025-09-12,111.0,0.2,133.2
INV-000353,CUST-0037,2025-10-12,111.0,0.2,133.2
INV-000354,CUST-0037,2025-11-12,132.0,0.2,158.4
INV-000355,CUST-0037,2025-12-12,132.0,0.2,158.4
INV-000356,CUST-0038,2025-10-07,125.0,0.0,125.0
INV-000357,CUST-0038,2025-11-07,125.0,0.0,125.0
INV-000358,CUST-0038,2025-12-07,125.0,0.0,125.0
INV-000359,CUST-0039,11/11/2025,125.0,0.2,150.0
INV-000360,CUST-0039,2025-12-11,125.0,0.2,150.0
INV-000361,CUST-0040,2025-09-26,125.0,0.2,150.0
INV-000362,CUST-0040,2025-10-26,125.0,0.2,150.0
INV-000363,CUST-0040,2025-11-26,125.0,0.2,150.0
INV-000364,CUST-0040,2025-12-26,164.0,0.2,196.8
INV-000365,CUST-0041,2025-03-17,89.0,0.0,89.0
INV-000366,CUST-0041,2025-04-17,89.0,0.0,89.0
INV-000367,CUST-0041,2025-05-17,89.0,0.0,89.0
INV-000368,CUST-0041,2025-06-17,89.0,0.0,89.0
INV-000369,CUST-0041,2025-07-17,89.0,0.0,89.0
INV-000370,CUST-0041,2025-08-17,89.0,0.0,89.0
INV-000371,CUST-0042,2024-01-25,89.0,0.0,89.0
INV-000372,CUST-0042,02/25/2024,89.0,0.0,89.0
INV-000373,CUST-0042,2024-03-25,89.0,0.0,89.0
INV-000374,CUST-0042,2024-04-25,89.0,0.0,89.0
INV-000375,CUST-0042,2024-05-25,89.0,0.0,89.0
INV-000376,CUST-0042,2024-06-25,89.0,0.0,89.0
INV-000377,CUST-0042,2024-07-25,89.0,0.0,89.0
INV-000378,CUST-0042,08/25/2024,89.0,0.0,89.0
INV-000379,CUST-0042,2024-09-25,89.0,0.0,89.0
INV-000380,CUST-0042,10/25/2024,89.0,0.0,89.0
INV-000381,CUST-0042,2024-11-25,89.0,0.0,89.0
INV-000382,CUST-0042,2024-12-25,89.0,0.0,89.0
INV-000383,CUST-0042,2025-01-25,89.0,0.0,89.0
INV-000384,CUST-0042,2025-02-25,89.0,0.0,89.0
INV-000385,CUST-0042,2025-03-25,89.0,0.0,89.0
INV-000386,CUST-0042,2025-04-25,89.0,0.0,89.0
INV-000387,CUST-0042,2025-05-25,89.0,0.0,89.0
INV-000388,CUST-0042,2025-06-25,89.0,0.0,89.0
INV-000389,CUST-0042,2025-07-25,113.0,0.0,113.0
INV-000390,CUST-0042,2025-08-25,113.0,0.0,113.0
INV-000391,CUST-0043,2024-07-24,89.0,0.2,106.8
INV-000392,CUST-0043,08/24/2024,89.0,0.2,106.8
INV-000393,CUST-0043,2024-09-24,89.0,0.2,106.8
INV-000394,CUST-0043,2024-10-24,89.0,0.2,106.8
INV-000395,CUST-0043,2024-11-24 00:00:00,89.0,0.2,106.8
INV-000396,CUST-0043,2024-12-24,89.0,0.2,106.8
INV-000397,CUST-0043,2025-01-24,89.0,0.2,106.8
INV-000398,CUST-0043,2025-02-24,89.0,0.2,106.8
INV-000399,CUST-0043,2025-03-24,89.0,0.2,106.8
INV-000400,CUST-0043,2025-04-24,89.0,0.2,106.8
INV-000401,CUST-0043,2025-05-24,89.0,0.2,106.8
INV-000402,CUST-0043,24-06-2025,89.0,0.2,106.8
INV-000403,CUST-0043,2025-07-24,89.0,0.2,106.8
INV-000404,CUST-0043,2025-08-24,89.0,0.2,106.8
INV-000405,CUST-0044,2025-12-14,125.0,0.2,150.0
INV-000406,CUST-0045,2024-05-14,89.0,0.0,89.0
INV-000407,CUST-0045,2024-06-14,89.0,0.0,89.0
INV-000408,CUST-0045,2024-07-14,89.0,0.0,89.0
INV-000409,CUST-0045,2024-08-14,89.0,0.0,89.0
INV-000410,CUST-0045,2024-09-14,89.0,0.0,89.0
INV-000411,CUST-0045,2024-10-14,89.0,0.0,89.0
INV-000412,CUST-0045,2024-11-14,89.0,0.0,89.0
INV-000413,CUST-0045,2024-12-14,129.0,0.0,129.0
INV-000414,CUST-0045,2025-01-14,129.0,0.0,129.0
INV-000415,CUST-0045,2025-02-14,170.0,0.0,170.0
INV-000416,CUST-0045,2025-03-14,170.0,0.0,170.0
INV-000417,CUST-0045,2025-04-14,170.0,0.0,170.0
INV-000418,CUST-0045,2025-05-14,170.0,0.0,170.0
INV-000419,CUST-0045,2025-06-14,170.0,0.0,170.0
INV-000420,CUST-0045,2025-07-14,170.0,0.0,170.0
INV-000421,CUST-0045,2025-08-14,170.0,0.0,170.0
INV-000422,CUST-0045,2025-09-14,170.0,0.0,170.0
INV-000423,CUST-0045,2025-10-14,170.0,0.0,170.0
INV-000424,CUST-0045,2025-11-14,170.0,0.0,170.0
INV-000425,CUST-0045,2025-12-14,170.0,0.0,170.0
INV-000426,CUST-0046,2024-03-19,89.0,0.19,105.91
INV-000427,CUST-0046,19-04-2024,89.0,0.19,105.91
INV-000428,CUST-0046,19-05-2024,89.0,0.19,105.91
INV-000429,CUST-0046,2024-06-19,89.0,0.19,105.91
INV-000430,CUST-0046,2024-07-19,89.0,0.19,105.91
INV-000431,CUST-0046,08/19/2024,89.0,0.19,105.91
